customer_id,age,gender,location,income,registration_date,purchase_date,product_category,brand,price,quantity,revenue,purchase_frequency,avg_order_value,customer_lifespan
CUST_00037,36,Female,San Diego,33595,2023-04-05,2023-11-20,Beauty,Brand D,27.13,4,108.53,5,106.91,2.47
CUST_00038,31,,San Diego,32222,2025-05-13,2025-06-21,Home & Garden,Brand F,99.75,4,399.02,6,368.97,0.36
CUST_00039,40,Male,Philadelphia,42908,2023-06-02,2024-01-16,Books,Brand H,15.25,3,45.74,2,47.55,2.31
CUST_00040,65,Male,Charlotte,34338,2024-09-13,2025-07-12,Home & Garden,Brand D,87.83,2,175.67,2,191.56,1.03
CUST_00041,27,Male,Denver,69628,2022-10-07,2024-11-24,Automotive,Brand A,264.24,2,528.48,3,493.29,2.96
CUST_00042,41,Male,Austin,68532,2023-01-13,2025-06-07,Home & Garden,Brand C,60.36,3,181.07,1,167.42,2.69
CUST_00043,,Male,Boston,36574,2024-09-17,2024-11-19,Books,Brand H,26.58,1,26.58,4,23.29,1.02
CUST_00044,35,Female,Indianapolis,31968,2025-05-03,2025-07-05,Sports,Brand A,145.12,2,290.24,9,296.24,0.39
CUST_00045,44,Female,Charlotte,,2025-05-21,2025-08-17,Beauty,Brand H,32.11,3,96.34,3,80.36,0.34
CUST_00046,38,Female,Boston,57642,2023-08-10,2024-08-30,Home & Garden,Brand G,75.56,1,75.56,6,89.91,2.12
CUST_00047,18,Female,Indianapolis,34175,2024-03-17,2025-08-20,Toys,Brand B,23.82,2,47.64,4,38.47,1.52
CUST_00048,43,Female,San Jose,98991,2024-09-17,2024-10-14,Electronics,Brand G,243.06,5,1215.28,5,1053.05,1.02
CUST_00049,18,Male,Indianapolis,24362,2025-02-19,2025-03-30,Toys,Brand C,38.47,2,76.94,4,87.45,0.59
CUST_00050,,Male,New York,20000,2025-06-25,2025-08-07,Toys,Brand B,35.79,2,71.58,2,84.97,0.25
CUST_00051,37,Male,San Francisco,96079,2025-01-21,2025-04-14,Toys,Brand G,46.72,4,186.87,4,202.24,0.67
CUST_00052,47,Other,Seattle,45402,2022-12-09,2023-12-16,Automotive,Brand C,140.4,3,421.21,3,349.93,2.79
CUST_00053,39,Female,Fort Worth,20000,2023-09-03,2024-02-11,Toys,Brand E,23.81,1,23.81,2,27.37,2.06
CUST_00054,42,Male,Jacksonville,66942,2023-09-28,2024-06-26,Toys,Brand D,31.8,4,127.2,3,119.8,1.99
CUST_00055,18,Female,Jacksonville,20000,2025-02-19,2025-03-28,Books,Brand E,14.25,5,71.27,6,63.59,0.59
CUST_00056,25,Other,Indianapolis,28339,2022-10-16,2023-12-09,Clothing,Brand B,47.48,2,94.96,3,96.36,2.94
CUST_00057,,Female,Los Angeles,29916,2025-03-08,2025-03-17,Automotive,Brand H,155.63,2,311.26,1,335.63,0.54
CUST_00058,37,Female,San Diego,57167,2025-07-16,2025-08-18,Beauty,Brand H,30.32,8,242.58,6,274.2,0.19
CUST_00059,40,Female,San Antonio,44364,2025-08-08,2025-09-17,Automotive,Brand B,179.05,2,358.09,7,420.72,0.13
CUST_00060,60,Male,Seattle,38812,2024-10-23,2025-07-20,Toys,Brand G,31.6,3,94.8,2,76.68,0.92
CUST_00061,18,Other,Indianapolis,29636,2024-07-24,2024-09-01,Automotive,Brand G,125.58,4,502.33,3,548.8,1.17
CUST_00062,45,,Philadelphia,20000,2022-11-20,2025-01-21,Toys,Brand D,33.2,4,132.8,2,114.4,2.84
CUST_00063,41,Other,Boston,31939,2024-03-16,2024-08-16,Beauty,Brand F,44.74,3,134.23,3,139.08,1.52
CUST_00064,53,Other,Philadelphia,22731,2025-08-14,2025-09-08,Electronics,Brand D,297.13,2,594.26,3,709.94,0.11
CUST_00065,32,Male,Los Angeles,36806,2025-01-12,2025-02-14,Electronics,Brand E,116.88,4,467.51,1,499.37,0.7
CUST_00066,21,Male,Jacksonville,75957,2025-05-06,2025-09-10,Automotive,Brand C,218.57,5,1092.83,3,900.64,0.38
CUST_00067,41,Female,Denver,27259,2023-02-23,2025-02-15,Beauty,Brand E,19.85,2,39.7,1,35.85,2.58
CUST_00068,41,Male,Boston,20000,2023-01-12,2023-06-13,Clothing,Brand A,36.48,3,109.43,7,103.26,2.7
CUST_00069,29,Female,San Jose,72704,2023-01-28,2024-07-07,Beauty,Brand B,32.91,2,65.83,5,56.97,2.65
CUST_00070,31,Male,Fort Worth,63187,2023-02-18,2023-12-18,Automotive,Brand C,118.14,3,354.41,3,347.24,2.6
CUST_00071,51,Male,Jacksonville,,2025-03-13,2025-05-01,Electronics,Brand H,221.76,3,665.28,2,673.57,0.53
CUST_00072,50,Female,Columbus,33024,2022-10-24,2024-02-26,Sports,Brand E,113.45,3,340.36,4,343.31,2.92
CUST_00073,26,Male,San Diego,46756,2023-10-26,2024-10-12,Beauty,Brand E,29.07,4,116.3,4,136.81,1.91
CUST_00074,34,Male,New York,43097,2023-10-07,2025-05-14,Books,Brand E,10,2,20,8,19.01,1.96
CUST_00075,49,Male,New York,100125,2024-10-24,2025-06-05,Electronics,Brand C,298.52,3,895.56,4,838.69,0.91
CUST_00076,47,Female,Seattle,72557,2024-08-26,2025-09-09,Home & Garden,Brand E,93.53,4,374.14,4,371.02,1.08
CUST_00077,41,Female,San Diego,40272,2025-05-11,2025-05-13,Electronics,Brand E,141.05,2,282.1,4,289.7,0.37
CUST_00078,32,Female,Fort Worth,27187,2023-03-22,2023-07-18,Books,Brand F,15.29,4,61.15,5,56.31,2.51
CUST_00079,28,Male,Phoenix,45075,2023-10-08,2025-04-21,Home & Garden,Brand D,71.5,1,71.5,1,75.56,1.96
CUST_00080,40,Other,Chicago,34747,2024-12-05,2025-02-28,Clothing,Brand C,88.7,4,354.78,6,321.42,0.8
CUST_00081,48,Male,Los Angeles,20000,2023-01-12,2024-06-12,Sports,Brand C,59.64,3,178.92,3,170.22,2.7
CUST_00082,44,Other,Charlotte,24040,2022-11-12,2023-09-19,Toys,Brand B,41.94,1,41.94,7,40.25,2.86
CUST_00083,35,Female,Seattle,67072,2024-05-26,2025-01-12,Toys,Brand A,41.87,2,83.73,2,78.43,1.33
CUST_00084,64,Female,Seattle,27574,2024-10-18,2025-07-07,Home & Garden,Brand F,99.52,4,398.07,4,458.25,0.93
CUST_00085,32,Male,Los Angeles,24887,2023-02-06,2024-05-17,Beauty,Brand D,36.41,3,109.23,5,129.02,2.63
CUST_00086,36,Male,Jacksonville,20000,2025-04-19,2025-07-24,Sports,Brand E,101.08,5,505.42,1,526.15,0.43
CUST_00087,34,Female,Charlotte,20000,2024-05-25,2025-09-08,Home & Garden,Brand A,65.28,2,130.56,6,131.97,1.33
CUST_00088,31,Male,Columbus,28182,2024-05-27,2025-01-11,Books,Brand F,10,3,30,5,31.43,1.33
CUST_00089,18,Female,,24806,2025-02-23,2025-06-20,Clothing,Brand F,43.35,3,130.05,7,139.84,0.58
CUST_00090,,Female,Los Angeles,34746,2023-07-11,2025-07-06,Toys,Brand A,51.06,2,102.11,4,109.47,2.2
CUST_00091,18,Male,Charlotte,22341,2024-04-13,2025-08-17,Clothing,Brand E,68.83,1,68.83,2,69.23,1.45
CUST_00092,37,Male,Seattle,23607,2025-03-29,2025-09-09,Sports,Brand C,73.59,7,515.1,4,501.11,0.49
CUST_00093,32,Female,Chicago,31621,2025-04-25,2025-05-27,Beauty,Brand G,26.85,3,80.55,5,74.75,0.41
CUST_00094,,Male,Seattle,42669,2025-05-29,2025-07-12,Books,Brand F,11.93,4,47.72,6,46.98,0.32
CUST_00095,32,Female,Austin,23735,2024-05-09,2024-05-19,Books,Brand H,16.95,4,67.8,4,74.56,1.37
CUST_00096,,Male,Charlotte,40772,2022-10-16,2024-04-04,Beauty,Brand C,10,2,20,1,17.43,2.94
CUST_00097,46,Female,Chicago,31954,2024-09-23,2025-03-28,Automotive,Brand D,242.77,4,971.07,2,799.6,1.0
CUST_00098,49,Male,Indianapolis,20000,2024-05-01,2024-09-24,Automotive,Brand D,186.04,1,186.04,5,196.28,1.4
CUST_00099,45,Female,Phoenix,56266,2024-04-12,2024-08-28,Clothing,Brand C,42.08,4,168.33,5,165.52,1.45
CUST_00100,,Female,Philadelphia,,2023-06-08,2023-12-07,Beauty,Brand D,28.55,1,28.55,4,26.07,2.29
CUST_00101,22,Female,Philadelphia,20000,2023-05-07,2025-07-28,Sports,Brand H,103.87,3,311.62,3,340.59,2.38
CUST_00102,29,Female,Phoenix,46336,2024-10-15,2024-11-05,Clothing,Brand E,58.33,2,116.66,6,100.39,0.94
CUST_00103,22,Female,Austin,37452,2024-06-28,2024-09-22,Electronics,Brand A,119.73,3,359.18,3,411.19,1.24
CUST_00104,41,,Denver,31218,2024-02-11,2024-03-14,Automotive,Brand E,113.33,2,226.65,7,222.23,1.62
CUST_00105,45,Female,Boston,34929,2025-01-10,2025-01-16,Automotive,Brand D,50.82,1,50.82,3,42.57,0.7
CUST_00106,,Female,Seattle,20519,2024-02-18,2025-05-31,Beauty,Brand D,34.82,2,69.64,4,72.37,1.6
CUST_00107,47,Other,Denver,26530,2024-02-28,2025-08-05,Home & Garden,Brand F,54.61,6,327.69,3,370.02,1.57
CUST_00108,34,Male,Jacksonville,46253,2023-01-25,2024-01-24,Sports,Brand A,92.94,4,371.75,4,333.07,2.66
CUST_00109,49,Male,Phoenix,77703,2023-12-14,2024-09-28,Sports,Brand E,64.63,2,129.26,3,146.68,1.78
CUST_00110,49,Male,Columbus,22022,2024-05-22,2025-06-27,Automotive,Brand A,119.5,4,478.01,3,467.88,1.34
CUST_00111,28,Female,Philadelphia,,2023-11-02,2024-01-24,Beauty,Brand C,34.87,6,209.21,4,173.08,1.89
CUST_00112,45,Female,Houston,52717,2022-12-11,2025-01-25,Clothing,Brand A,36.71,2,73.42,6,66.6,2.78
CUST_00113,34,Female,Dallas,20000,2022-10-01,2025-06-04,Clothing,Brand H,42.23,3,126.69,3,149.4,2.98
CUST_00114,37,Female,Chicago,30291,2023-04-24,2024-08-28,Clothing,Brand H,42.46,5,212.31,3,173.72,2.42
CUST_00115,18,Female,Fort Worth,34837,2023-11-11,2023-12-30,Beauty,Brand A,27.22,4,108.87,3,113.97,1.87
CUST_00116,25,Other,Fort Worth,,2025-04-20,2025-06-05,Books,Brand A,14.73,5,73.64,7,80.04,0.43
CUST_00117,47,Female,Phoenix,48833,2024-07-09,2025-09-06,Sports,Brand A,115.36,4,461.43,1,486.55,1.21
CUST_00118,32,Male,Indianapolis,37390,2024-11-30,2025-07-23,Electronics,Brand G,155.31,2,310.63,3,339.1,0.81
CUST_00119,20,Male,Jacksonville,57502,2025-02-11,2025-07-17,Sports,Brand G,89.23,2,178.46,2,170.82,0.61
CUST_00120,37,Female,Seattle,33616,2022-11-22,2023-03-28,Home & Garden,Brand A,90.33,1,90.33,6,78.31,2.84
CUST_00121,18,Male,Charlotte,,2024-12-23,2025-01-22,Clothing,Brand E,43.79,3,131.38,3,137.0,0.75
CUST_00122,47,Female,Fort Worth,35984,2023-05-27,2024-06-09,Automotive,Brand C,167.88,4,671.5,5,581.59,2.33
CUST_00123,42,Female,Seattle,26185,2025-05-13,2025-06-01,Books,Brand G,12.91,3,38.72,6,43.22,0.36
CUST_00124,33,Female,Philadelphia,43850,2022-11-06,2024-10-01,Clothing,Brand D,49.56,2,99.12,5,113.62,2.88
CUST_00125,41,Male,Dallas,37979,2025-05-01,2025-07-21,Electronics,Brand A,138.61,2,277.21,1,329.5,0.4
CUST_00126,25,Female,Jacksonville,111287,2025-02-12,2025-07-31,Toys,Brand C,45.52,3,136.56,5,149.56,0.61
CUST_00127,43,Female,Houston,65593,2024-02-25,2024-09-06,Automotive,Brand H,219.28,3,657.85,5,527.88,1.58
CUST_00128,26,Male,Los Angeles,28660,2024-06-01,2025-09-18,Books,Brand H,17.83,2,35.65,6,35.32,1.31
CUST_00129,51,Male,Indianapolis,20000,2025-02-23,2025-03-18,Toys,Brand F,55.61,4,222.44,3,228.07,0.58
CUST_00130,,Male,Indianapolis,47959,2022-12-08,2023-08-06,Clothing,Brand E,62.18,1,62.18,3,70.62,2.79
CUST_00131,31,Male,Los Angeles,24617,2024-06-23,2025-09-18,Sports,Brand B,95.21,4,380.85,6,330.11,1.25
CUST_00132,46,Male,Boston,37961,2022-12-20,2024-12-12,Sports,Brand E,105.92,1,105.92,5,93.59,2.76
CUST_00133,49,Female,San Francisco,,2023-11-15,2024-10-09,Beauty,Brand C,37.54,3,112.61,3,123.29,1.86
CUST_00134,50,Male,Fort Worth,24243,2025-07-07,2025-08-30,Clothing,Brand E,52.31,3,156.94,3,133.36,0.21
CUST_00135,34,Male,Houston,36589,2023-04-20,2023-12-06,Electronics,Brand D,98.23,2,196.46,3,187.23,2.43
CUST_00136,31,Male,Jacksonville,67644,2023-09-05,2025-03-13,Books,Brand D,11.29,6,67.77,3,78.6,2.05
CUST_00137,37,Female,San Diego,29104,2024-07-28,2024-11-24,Books,Brand H,15.09,2,30.19,3,25.85,1.16
CUST_00138,37,Male,Austin,46588,2024-04-21,2024-06-09,Automotive,Brand D,201.31,3,603.92,2,649.84,1.42
CUST_00139,18,Female,Columbus,25345,2024-05-29,2025-06-23,Beauty,Brand F,28.38,3,85.13,3,69.81,1.32
CUST_00140,51,Male,Seattle,37196,2022-10-17,2023-08-24,Beauty,Brand F,32.99,1,32.99,1,37.33,2.93
CUST_00141,47,Female,Houston,30980,2024-04-17,2025-06-18,Automotive,Brand A,160.45,3,481.34,1,453.81,1.43
CUST_00142,20,Female,Phoenix,56453,2023-03-20,2024-03-03,Home & Garden,Brand D,69.15,2,138.3,5,152.74,2.51
CUST_00143,36,Male,Seattle,48721,2023-10-10,2024-02-03,Books,Brand D,10,5,50,5,53.59,1.95
CUST_00144,54,Female,Fort Worth,20000,2023-09-25,2024-04-11,Automotive,Brand G,115.73,5,578.63,4,539.65,2.0
CUST_00145,35,Male,San Diego,,2025-02-17,2025-07-31,Clothing,Brand E,60.2,2,120.41,4,102.48,0.6
CUST_00146,49,Male,Chicago,25191,2024-08-06,2025-02-01,Beauty,Brand G,20.79,2,41.58,8,37.78,1.13
CUST_00147,43,Female,San Diego,24945,2023-08-03,2024-05-01,Home & Garden,Brand G,123.25,2,246.5,3,223.36,2.14
CUST_00148,39,Female,Houston,,2024-04-23,2024-07-20,Clothing,Brand H,35.66,2,71.31,3,81.31,1.42
CUST_00149,42,Male,Indianapolis,20807,2024-02-11,2024-04-27,Toys,Brand G,59.61,3,178.83,3,199.01,1.62
CUST_00150,18,Female,Philadelphia,38787,2023-03-20,2023-09-04,Home & Garden,Brand E,58.43,4,233.71,4,267.86,2.51
CUST_00151,47,Male,Chicago,49439,2022-11-14,2024-07-01,Home & Garden,Brand B,64.09,2,128.19,3,150.49,2.86
CUST_00152,29,Male,Phoenix,25930,2024-02-13,2025-05-10,Electronics,Brand E,186.0,3,557.99,8,546.86,1.61
CUST_00153,18,Female,Indianapolis,40931,2022-11-10,2023-12-02,Clothing,Brand B,23.79,4,95.15,2,112.33,2.87
CUST_00154,33,Male,Chicago,20000,2025-06-13,2025-09-18,Toys,Brand H,49.96,3,149.87,1,130.33,0.28
CUST_00155,42,Male,Fort Worth,69562,2024-11-14,2025-09-11,Sports,Brand G,90.19,4,360.75,4,351.16,0.86
CUST_00156,,,Denver,29191,2023-04-18,2025-06-11,Home & Garden,Brand A,41.44,3,124.33,3,144.79,2.43
CUST_00157,32,Male,New York,51476,2024-09-28,2024-10-14,Clothing,Brand F,57.5,3,172.49,5,163.59,0.99
CUST_00158,40,,Los Angeles,54457,2024-06-06,2024-08-03,Home & Garden,Brand C,73.53,3,220.59,3,249.24,1.3
CUST_00159,26,Female,Houston,36389,2022-12-11,2023-07-06,Electronics,Brand G,244.24,1,244.24,9,285.71,2.78
CUST_00160,33,Female,Phoenix,28385,2023-12-12,2024-06-06,Clothing,Brand B,58.54,3,175.62,4,200.83,1.78
CUST_00161,,Male,Phoenix,20631,2023-11-11,2025-09-13,Beauty,Brand D,26.24,2,52.49,4,43.74,1.87
CUST_00162,31,Male,Dallas,24591,2022-10-25,2023-05-19,Automotive,Brand G,137.04,2,274.09,6,314.82,2.91
CUST_00163,41,Female,San Francisco,20000,2024-12-29,2025-07-22,Toys,Brand A,49.09,4,196.37,9,226.66,0.73
CUST_00164,34,Male,San Francisco,61423,2024-06-26,2025-06-25,Home & Garden,Brand F,99.7,3,299.09,4,285.67,1.24
CUST_00165,31,Female,Houston,58124,2023-08-24,2023-12-18,Electronics,Brand A,188.36,5,941.82,3,779.34,2.08
CUST_00166,27,Female,Los Angeles,50300,2024-10-12,2025-05-07,Toys,Brand A,26.35,4,105.39,4,93.05,0.95
CUST_00167,21,Male,Chicago,30457,2023-04-20,2025-07-02,Clothing,Brand E,73.84,2,147.67,4,153.57,2.43
CUST_00168,38,Male,Denver,102609,2023-04-20,2025-06-19,Clothing,Brand F,71.32,4,285.28,5,307.49,2.43
CUST_00169,41,Female,Philadelphia,49653,2024-09-19,2025-04-11,Electronics,Brand D,188.64,2,377.27,7,379.42,1.01
CUST_00170,18,Female,Philadelphia,,2023-10-07,2023-11-03,Sports,Brand D,117.7,6,706.19,1,681.1,1.96
CUST_00171,18,Female,Chicago,50024,2024-01-05,2024-06-19,Automotive,Brand F,160.78,2,321.56,2,377.95,1.72
CUST_00172,40,Female,Austin,71184,2025-01-26,2025-04-23,Toys,Brand C,49.59,4,198.36,7,194.77,0.66
CUST_00173,35,Female,Dallas,20000,2024-05-24,2025-07-04,Home & Garden,Brand A,109.54,2,219.08,4,176.94,1.33
CUST_00174,,Male,Fort Worth,22244,2023-06-12,2025-06-23,Clothing,Brand D,95.93,1,95.93,3,103.7,2.28
CUST_00175,44,Female,San Francisco,21185,2023-01-13,2023-09-09,Toys,Brand H,54.55,2,109.11,2,117.45,2.69
CUST_00176,28,Male,Jacksonville,30423,2023-01-23,2025-03-18,Toys,Brand B,29.63,2,59.27,2,52.41,2.67
CUST_00177,31,Other,San Diego,32184,2024-01-19,2024-11-10,Sports,Brand H,87.66,3,262.97,4,312.98,1.68
CUST_00178,29,Male,Philadelphia,55577,2024-12-30,2025-04-21,Sports,Brand F,145.02,5,725.09,3,680.73,0.73
CUST_00179,53,Female,Seattle,43430,2023-05-03,2025-04-22,Electronics,Brand G,310.56,2,621.12,4,624.56,2.39
CUST_00180,42,Female,Houston,38068,2023-05-03,2025-03-05,Home & Garden,Brand F,121.46,1,121.46,5,141.05,2.39
CUST_00181,26,Female,Jacksonville,54196,2023-05-21,2025-07-28,Books,Brand G,26.16,5,130.79,3,133.63,2.34
CUST_00182,62,Female,Charlotte,,2023-09-26,2024-05-12,Electronics,Brand D,234.48,2,468.96,6,530.41,1.99
CUST_00183,63,Female,San Jose,,2024-05-03,2024-06-25,Automotive,Brand H,152.54,3,457.61,1,448.28,1.39
CUST_00184,,Male,New York,20000,2025-05-10,2025-06-21,Beauty,Brand C,36.76,2,73.51,6,60.75,0.37
CUST_00185,26,Male,Denver,20000,2025-05-13,2025-08-04,Automotive,Brand D,226.48,2,452.95,6,444.91,0.36
CUST_00186,47,Male,New York,26052,2025-01-27,2025-03-16,Toys,Brand A,50.58,3,151.74,3,131.27,0.65
CUST_00187,18,Male,San Jose,36495,2023-02-21,2024-02-16,Clothing,Brand C,35.77,5,178.83,3,156.27,2.59
CUST_00188,55,Male,,40727,2024-12-18,2025-01-12,Books,Brand H,22.71,1,22.71,8,24.13,0.76
CUST_00189,40,Male,Fort Worth,46778,2024-10-18,2024-11-24,Toys,Brand C,41.79,2,83.57,3,72.63,0.93
CUST_00190,26,Male,Boston,35137,2023-04-21,2024-11-29,Electronics,Brand G,227.04,3,681.12,5,788.98,2.43
CUST_00191,38,Male,Fort Worth,31402,2023-07-13,2023-12-23,Beauty,Brand F,40.8,4,163.21,5,132.7,2.2
CUST_00192,29,Female,Fort Worth,37402,2023-03-06,2024-03-24,Sports,Brand G,113.41,3,340.22,6,315.68,2.55
CUST_00193,37,Female,Phoenix,82548,2023-03-29,2024-07-04,Automotive,Brand F,133.03,2,266.07,4,237.48,2.49
CUST_00194,30,Female,Chicago,40645,2023-06-19,2024-09-19,Beauty,Brand B,36.23,1,36.23,6,42.66,2.26
CUST_00195,18,Female,Dallas,29517,2022-10-30,2024-07-15,Toys,Brand C,55.01,4,220.05,5,209.68,2.9
CUST_00196,37,Male,Dallas,33219,2023-05-07,2025-07-06,Clothing,Brand C,29.54,5,147.68,3,165.24,2.38
CUST_00197,28,Male,Fort Worth,32451,2023-03-06,2024-07-21,Electronics,Brand H,141.61,1,141.61,4,161.88,2.55
CUST_00198,23,Male,Houston,54811,2022-11-30,2024-09-02,Clothing,Brand C,34.25,4,137.01,3,132.1,2.81
CUST_00199,18,Male,Columbus,55751,2022-12-29,2023-03-10,Books,Brand D,10,2,20,3,22.44,2.74
CUST_00200,30,Female,Phoenix,20390,2023-01-18,2025-06-04,Beauty,Brand E,14.23,3,42.7,4,36.25,2.68
CUST_00201,36,Male,Phoenix,20654,2023-02-21,2025-06-25,Beauty,Brand C,42.61,2,85.23,7,97.71,2.59
CUST_00202,21,Female,San Francisco,20000,2025-08-09,2025-09-17,Books,Brand G,11.47,5,57.35,2,66.29,0.12
CUST_00203,42,Male,Austin,29790,2023-05-30,2023-11-17,Home & Garden,Brand E,96.41,4,385.63,3,416.7,2.32
CUST_00204,34,Male,San Jose,22027,2024-04-07,2024-05-16,Sports,Brand B,92.88,3,278.65,4,322.17,1.46
CUST_00205,37,Male,Jacksonville,24369,2025-07-20,2025-09-03,Sports,Brand F,157.05,6,942.28,1,856.33,0.18
CUST_00206,37,Female,,65024,2023-10-14,2024-08-19,Automotive,Brand D,93.95,2,187.9,4,150.32,1.94
CUST_00207,49,Female,Chicago,38837,2024-10-03,2025-01-06,Beauty,Brand B,15.95,2,31.89,2,27.77,0.97
CUST_00208,53,Male,Indianapolis,27419,2023-09-19,2024-08-10,Toys,Brand E,52.18,4,208.7,3,234.09,2.01
CUST_00209,48,Male,Charlotte,52321,2023-04-01,2025-08-02,Home & Garden,Brand C,86.72,3,260.17,7,213.14,2.48
CUST_00210,,Female,New York,79740,2024-10-01,2024-11-22,Beauty,Brand G,15.52,3,46.56,4,54.22,0.98
CUST_00211,22,Female,Austin,67171,2024-10-24,2024-10-31,Beauty,Brand B,36.11,2,72.22,4,67.58,0.91
CUST_00212,33,Male,Charlotte,20000,2023-12-12,2024-07-16,Home & Garden,Brand F,63.54,3,190.61,2,214.53,1.78
CUST_00213,,Female,Philadelphia,27690,2023-05-28,2025-03-31,Electronics,Brand D,132.94,3,398.81,6,405.23,2.32
CUST_00214,30,Male,Houston,24701,2024-06-30,2024-07-17,Automotive,Brand H,130.19,3,390.56,4,368.66,1.23
CUST_00215,,Female,Denver,20000,2023-12-27,2024-12-18,Beauty,Brand A,34.76,3,104.27,3,108.87,1.74
CUST_00216,50,Female,Jacksonville,81567,2024-08-12,2024-08-23,Sports,Brand C,92.17,4,368.67,8,327.45,1.11
CUST_00217,51,Female,San Jose,47911,2023-03-19,2025-05-10,Automotive,Brand E,111.34,6,668.06,3,541.35,2.52
